artist,art,year,hsv.h.avg,hsv.h.median,hsv.h.min,hsv.h.max,hsv.s.avg,hsv.s.median,hsv.s.min,hsv.s.max,hsv.v.avg,hsv.v.median,hsv.v.min,hsv.v.max,lab.a.avg,lab.a.median,lab.a.min,lab.a.max,lab.b.avg,lab.b.median,lab.b.min,lab.b.max,lab.l.avg,lab.l.median,lab.l.min,lab.l.max,lch.c.avg,lch.c.median,lch.c.min,lch.c.max,lch.h.avg,lch.h.median,lch.h.min,lch.h.max,lch.l.avg,lch.l.median,lch.l.min,lch.l.max,rgb.b.avg,rgb.b.median,rgb.b.min,rgb.b.max,rgb.g.avg,rgb.g.median,rgb.g.min,rgb.g.max,rgb.r.avg,rgb.r.median,rgb.r.min,rgb.r.max
Hans Memling,Advent and Triumph of Christ,1480,6,4,1,1,11,11,1,10,10,8,9,2,4,10,3,11,8,4,7,12,10,8,9,9,8,9,1,10,1,12,1,6,10,8,9,9,11,11,9,12,10,11,9,4,10,12,9,8
Hans Memling,Allegory with a Virgin,1480,10,11,1,1,7,6,3,9,11,10,1,5,4,4,12,12,9,10,10,13,11,9,4,9,9,10,2,11,1,13,1,1,11,9,4,9,12,12,10,13,11,12,10,11,11,13,10,5
Hans Memling,Angel Holding an Olive Branch,1480,11,12,1,1,12,10,1,11,7,11,3,1,11,1,13,13,10,3,11,14,12,6,3,7,10,3,1,8,1,8,5,2,12,6,3,7,13,13,11,14,12,13,1,12,12,14,11,1
Hans Memling,Bathsheba,1480,12,7,1,1,13,3,1,6,8,12,10,7,12,11,14,14,11,1,10,15,13,10,7,10,11,10,1,12,1,14,1,1,13,10,7,10,9,9,12,15,13,6,7,13,13,15,6,9
Hans Memling,Madonna and Child Enthroned with Two Angels,1480,15,14,1,1,12,11,1,7,3,4,1,8,8,12,3,17,3,3,14,15,2,13,1,5,6,6,1,15,1,17,1,1,2,13,1,5,15,2,2,17,16,16,1,16,16,18,13,10
Hans Memling,Portrait of a Man with a Roman Medal,1480,17,16,1,1,15,14,1,13,14,15,1,8,13,14,17,19,14,12,16,16,16,15,1,7,12,12,1,17,1,19,7,2,16,15,1,7,5,16,6,13,18,18,3,17,18,19,1,11
Hans Memling,Portrait of an Elderly Woman,1480,18,17,1,1,12,9,1,6,10,16,10,4,14,15,10,20,15,13,17,17,17,16,7,11,10,13,1,18,1,20,1,8,17,16,7,11,16,17,12,19,19,19,7,14,19,20,6,4
Hugo van der Goes,Death of the Virgin,1480,15,24,1,1,19,18,1,6,9,24,13,12,12,1,3,14,18,17,8,1,9,22,7,2,7,6,1,4,1,26,1,1,9,22,7,2,24,1,12,16,28,7,7,22,28,13,6,8
Hugo van der Goes,Diptych of The Fall of Man and The Redemption ,1480,23,25,1,1,20,19,1,6,18,25,4,1,15,2,16,24,19,18,22,22,23,23,7,1,2,4,1,24,1,27,1,1,23,23,7,1,13,25,16,27,29,28,7,1,29,25,5,1
Hugo van der Goes,The Fall of Man and The Lamentation,1480,25,13,3,3,21,20,2,15,9,27,11,8,11,3,19,12,17,20,7,13,21,24,1,15,8,4,2,13,1,29,2,10,21,24,1,15,25,19,5,29,32,30,4,23,22,27,19,10
Hans Memling,Moreel Triptych,1484,16,15,1,1,10,8,1,12,1,2,11,5,5,13,3,18,13,3,15,3,5,14,3,4,7,6,1,16,1,18,1,1,5,14,3,4,2,15,14,18,17,17,11,16,17,18,14,5
Hans Memling,Diptych of Maarten van Nieuwenhove,1487,14,2,1,1,14,13,1,6,13,14,4,7,5,7,16,16,11,10,13,13,15,12,4,6,3,10,1,14,1,16,1,1,15,12,4,6,2,3,4,14,15,15,2,15,15,17,6,7
Hans Memling,Diptych of Maarten van Nieuwenhove,1487,14,2,1,1,14,13,1,6,13,14,4,7,5,7,16,16,11,10,13,13,15,12,4,6,3,10,1,14,1,16,1,1,15,12,4,6,2,3,4,14,15,15,2,15,15,17,6,7
Hans Memling,Portrait of Benedetto Portinari,1487,7,19,1,1,6,7,1,6,15,18,10,10,1,11,18,15,9,7,19,19,19,15,7,13,14,15,1,20,1,22,1,1,19,15,7,13,17,16,12,21,21,21,7,19,21,22,6,13
Hans Memling,Portrait of an Unknown Man with a Letter,1489,19,18,1,1,14,15,1,12,14,17,12,9,1,1,13,12,14,14,18,18,18,17,1,12,13,14,1,19,1,21,1,1,18,17,1,12,10,18,1,20,20,20,12,18,20,21,15,12
